,location_name,year,the_total_ppp_mean,the_total_ppp_lower,the_total_ppp_upper,the_per_cap_ppp_mean,the_per_cap_ppp_lower,the_per_cap_ppp_upper,the_per_gdp_mean,the_per_gdp_lower,the_per_gdp_upper
24,High income,1995,3213610458,3172195623,3256612285,3095,3055,3137,0.09,0.089,0.092
25,High income,1996,3304571263,3269454667,3338688962,3164,3130,3197,0.09,0.089,0.091
26,High income,1997,3423372933,3389327112,3461641758,3258,3226,3295,0.09,0.089,0.091
27,High income,1998,3572924229,3539968038,3609723678,3380,3349,3415,0.091,0.09,0.092
28,High income,1999,3713347967,3677916649,3750108943,3492,3459,3527,0.092,0.091,0.093
29,High income,2000,3901693124,3866088823,3935293892,3646,3613,3678,0.093,0.092,0.094
30,High income,2001,4109596891,4075146290,4144482125,3816,3784,3848,0.096,0.095,0.097
31,High income,2002,4343771557,4309941272,4379755667,4007,3975,4040,0.1,0.099,0.101
32,High income,2003,4567880209,4532354987,4607520631,4186,4153,4222,0.103,0.102,0.104
33,High income,2004,4736918115,4699188000,4775632155,4311,4276,4346,0.104,0.103,0.105
34,High income,2005,4916416023,4878025281,4956439050,4443,4408,4479,0.105,0.104,0.106
35,High income,2006,5060367117,5021301340,5098896121,4538,4503,4573,0.104,0.103,0.105
36,High income,2007,5214310963,5175550236,5254887860,4638,4603,4674,0.105,0.104,0.106
37,High income,2008,5407604201,5367530295,5446391986,4769,4733,4803,0.108,0.107,0.109
38,High income,2009,5658812636,5618825031,5697682261,4951,4916,4985,0.117,0.116,0.118
39,High income,2010,5800217106,5758417209,5841266261,5040,5004,5076,0.116,0.115,0.117
40,High income,2011,5925463209,5883031888,5965530738,5115,5078,5150,0.116,0.115,0.117
41,High income,2012,6050002283,6006064303,6093491310,5190,5152,5227,0.117,0.116,0.118
42,High income,2013,6136994208,6094735916,6180640638,5233,5197,5271,0.117,0.116,0.118
43,High income,2014,6450322619,6406954926,6495717852,5470,5433,5508,0.12,0.119,0.121
44,High income,2015,6629241441,6584622056,6673290825,5591,5553,5628,0.12,0.119,0.121
45,High income,2016,6812762159,6767054288,6861702044,5715,5677,5756,0.122,0.121,0.123
46,High income,2017,6977326734,6919986077,7033006153,5825,5777,5872,0.122,0.121,0.123
47,Low income,1995,44385715,40440018,49197712,112,102,124,0.05,0.047,0.054
48,Low income,1996,45082691,41184538,49653125,111,101,122,0.048,0.045,0.051
